Epoch, Score
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 2
8, 1
9, 0
10, 1
11, 1
12, 1
13, 3
14, 1
15, 10
16, 8
17, 9
18, 0
19, 2
20, 2
21, 5
22, 0
23, 0
24, 1
25, 14
26, 0
27, 3
28, 2
29, 32
30, 14
31, 1
32, 5
33, 15
34, 0
35, 4
36, 31
37, 19
38, 1
39, 2
40, 53
41, 0
42, 40
43, 1
44, 15
45, 41
46, 2
47, 0
48, 17
49, 11
50, 1
51, 1
52, 0
53, 0
54, 0
55, 2
56, 3
57, 1
58, 27
59, 0
60, 0
61, 4
62, 6
63, 48
64, 1
65, 11
66, 68
67, 1
68, 0
69, 1
70, 12
71, 25
72, 54
73, 0
74, 3
75, 6
76, 1
77, 1
78, 0
79, 24
80, 1
81, 0
82, 0
83, 2
84, 5
85, 0
86, 30
87, 0
88, 0
89, 4
90, 1
91, 7
92, 37
93, 0
94, 0
95, 0
96, 0
97, 57
98, 0
99, 0
100, 3
101, 0
102, 2
103, 0
104, 25
105, 13
106, 0
107, 5
108, 0
109, 0
110, 16
111, 71
112, 0
113, 27
114, 8
115, 0
116, 2
117, 9
118, 28
119, 0
120, 10
121, 0
122, 0
123, 1
124, 2
125, 0
126, 1
127, 15
128, 34
129, 35
130, 42
131, 1
132, 0
133, 0
134, 1
135, 32
136, 0
137, 1
138, 26
139, 14
140, 1
141, 0
142, 1
143, 8
144, 3
145, 14
146, 17
147, 0
148, 0
149, 1
150, 0
151, 19
152, 0
153, 5
154, 1
155, 0
156, 5
157, 0
158, 1
159, 13
160, 5
161, 2
162, 7
163, 8
164, 25
165, 2
166, 31
167, 75
168, 0
169, 0
170, 6
171, 64
172, 1
173, 0
174, 0
175, 0
176, 3
177, 1
178, 0
179, 0
180, 4
181, 0
182, 0
183, 1
184, 0
185, 0
186, 0
187, 0
188, 1
189, 1
190, 0
191, 0
192, 2
193, 19
194, 4
195, 1
196, 1
197, 6
198, 0
199, 1
200, 0
201, 0
202, 115
203, 2
204, 0
205, 0
206, 0
207, 47
208, 0
209, 41
210, 83
211, 1
212, 8
213, 81
214, 0
215, 7
216, 37
217, 0
218, 2
219, 27
220, 1
221, 31
222, 38
223, 12
224, 15
225, 6
226, 0
227, 1
228, 10
229, 12
230, 0
231, 0
232, 1
233, 1
234, 31
235, 12
236, 67
237, 0
238, 1
239, 17
240, 22
241, 45
242, 0
243, 53
244, 0
245, 1
246, 0
247, 0
248, 3
249, 6
250, 36
251, 14
252, 0
253, 0
254, 0
255, 92
256, 28
257, 60
258, 95
259, 0
260, 0
261, 1
262, 0
263, 15
264, 0
265, 5
266, 17
267, 1
268, 5
269, 29
270, 19
271, 1
272, 12
273, 3
274, 0
275, 65
276, 1
277, 0
278, 1
279, 1
280, 0
281, 55
282, 0
283, 21
284, 1
285, 2
286, 0
287, 1
288, 4
289, 16
290, 3
291, 1
292, 0
293, 0
294, 0
295, 0
296, 32
297, 48
298, 118
299, 11
300, 0
301, 5
302, 0
303, 9
304, 6
305, 1
306, 0
307, 18
308, 18
309, 0
310, 6
311, 25
312, 0
313, 162
314, 21
315, 16
316, 8
317, 0
318, 0
319, 0
320, 0
321, 0
322, 20
323, 0
324, 3
325, 28
326, 49
327, 31
328, 1
329, 9
330, 0
331, 0
332, 0
333, 3
334, 8
335, 0
336, 0
337, 19
338, 19
339, 83
340, 0
341, 1
342, 0
343, 16
344, 1
345, 3
346, 0
347, 0
348, 1
349, 0
350, 0
351, 1
352, 79
353, 24
354, 19
355, 0
356, 26
357, 0
358, 0
359, 0
360, 0
361, 3
362, 64
363, 3
364, 2
365, 0
366, 0
367, 12
368, 1
369, 0
370, 0
371, 2
372, 0
373, 0
374, 0
375, 35
376, 0
377, 1
378, 13
379, 67
380, 1
381, 0
382, 23
383, 0
384, 0
385, 9
386, 0
387, 0
388, 46
389, 19
390, 1
391, 26
392, 1
393, 3
394, 0
395, 108
396, 16
397, 18
398, 1
399, 16
400, 2
401, 11
402, 26
403, 0
404, 0
405, 0
406, 102
407, 0
408, 0
409, 0
410, 0
411, 2
412, 0
413, 1
414, 3
415, 4
416, 0
417, 0
418, 23
419, 49
420, 0
421, 3
422, 27
423, 4
424, 0
